"V1","V2","V3","V4","V5","V6","V7","V8"
NA,NA,NA,NA,11.5,9.448,NA,46.1999980776454
NA,NA,NA,NA,18.8,7.1995,NA,17.2999978603002
NA,NA,NA,NA,13.3,9.2545,NA,133.300015004352
NA,NA,NA,NA,5.6,10.123,NA,126.599992920819
NA,NA,NA,NA,9.9,9.845,NA,148.199992335867
NA,NA,NA,NA,6.9,9.368,NA,39.9999993511301
NA,NA,NA,NA,7.3,11.341,NA,149.699996144045
NA,NA,NA,NA,8,10.797,NA,150.399993015162
NA,NA,NA,NA,8.1,9.192,NA,86.599991251569
NA,NA,NA,NA,9.4,10.9265,NA,113.199993190938
NA,NA,NA,NA,14.3,10.22,NA,47.5999957881868
NA,NA,NA,NA,7.4,8.96,NA,188.200005143881
NA,NA,NA,NA,4.8,9.448,NA,51.4999999766587
NA,NA,NA,NA,2.9,7.1995,NA,75.1999983738642
NA,NA,NA,NA,12.9,9.2545,NA,112.599993223557
NA,NA,NA,NA,16,10.123,NA,97.0999947865494
NA,NA,NA,NA,15.5,9.845,NA,78.9999957967666
NA,NA,NA,NA,3.8,9.368,NA,96.2000018291292
NA,NA,NA,NA,12.6,11.341,NA,119.899995432934
NA,NA,NA,NA,9.9,10.797,NA,111.900007235818
NA,NA,NA,NA,7.4,9.192,NA,122.699977554294
NA,NA,NA,NA,10,10.9265,NA,122.899993305327
NA,NA,NA,NA,6.9,10.22,NA,23.2000007752504
NA,NA,NA,NA,20.1,8.96,NA,142.000002076384
NA,NA,NA,NA,5.5,9.448,NA,73.0999995881575
NA,NA,NA,NA,9.4,7.1995,NA,93.0000028805807
NA,NA,NA,NA,13.3,9.2545,NA,126.299997023307
NA,NA,NA,NA,10.5,10.123,NA,57.9000035708304
NA,NA,NA,NA,6.9,9.845,NA,16.3999987023999
NA,NA,NA,NA,7.6,9.368,NA,180.199998244643
NA,NA,NA,NA,9.4,11.341,NA,70.3000002773479
NA,NA,NA,NA,10.2,10.797,NA,109.300008136779
NA,NA,NA,NA,11.7,9.192,NA,48.9999991270452
NA,NA,NA,NA,12.9,10.9265,NA,67.5999954342842
NA,NA,NA,NA,3.5,10.22,NA,49.0999981819186
NA,NA,NA,NA,15.2,8.96,NA,80.0999956059968
NA,NA,NA,NA,8,9.448,NA,87.8000115975738
NA,NA,NA,NA,8.8,7.1995,NA,43.7999999565363
NA,NA,NA,NA,13.4,9.2545,NA,69.2999979612068
NA,NA,NA,NA,6.8,10.123,NA,149.200004572776
NA,NA,NA,NA,2.2,9.845,NA,80.3000047366368
NA,NA,NA,NA,18.6,9.368,NA,64.8000024688372
NA,NA,NA,NA,7.3,11.341,NA,70.6000021666114
NA,NA,NA,NA,9,10.797,NA,131.299995284644
NA,NA,NA,NA,4.7,9.192,NA,132.999995630962
NA,NA,NA,NA,9.4,10.9265,NA,48.5999966505915
NA,NA,NA,NA,5.8,10.22,NA,45.599998346006
NA,NA,NA,NA,8.5,8.96,NA,50.7000005145528
NA,NA,NA,NA,9.5,9.448,NA,98.1999853625894
NA,NA,NA,NA,5.8,7.1995,NA,36.8999990547309
NA,NA,NA,NA,7.3,9.2545,NA,79.5000010213698
NA,NA,NA,NA,17.5,10.123,NA,45.8000007187366
NA,NA,NA,NA,8.1,9.845,NA,35.7999989115342
NA,NA,NA,NA,8.4,9.368,NA,93.9000010635937
NA,NA,NA,NA,6.7,11.341,NA,52.7000016549209
NA,NA,NA,NA,10.5,10.797,NA,127.400002234936
NA,NA,NA,NA,12.1,9.192,NA,173.699998611119
NA,NA,NA,NA,5.3,10.9265,NA,36.4999973739032
NA,NA,NA,NA,5.2,10.22,NA,53.9999979286222
NA,NA,NA,NA,6.4,8.96,NA,87.3999978546635
NA,NA,NA,NA,11.1,9.448,NA,57.19999903813
NA,NA,NA,NA,4.7,7.1995,NA,64.19999521313
NA,NA,NA,NA,8.4,9.2545,NA,100.900000381807
NA,NA,NA,NA,5.6,10.123,NA,62.1999985567527
NA,NA,NA,NA,4,9.845,NA,139.6999971068
NA,NA,NA,NA,11.5,9.368,NA,86.9000029830204
NA,NA,NA,NA,5.8,11.341,NA,125.599999091355
NA,NA,NA,NA,9.1,10.797,NA,82.599996936915
NA,NA,NA,NA,16.6,9.192,NA,46.2999973387923
NA,NA,NA,NA,4.6,10.9265,NA,102.900003246032
NA,NA,NA,NA,6.8,10.22,NA,56.3999954603787
NA,NA,NA,NA,10.5,8.96,NA,90.8000007475493
NA,NA,NA,NA,6.8,9.448,NA,57.2999999101739
NA,NA,NA,NA,6.6,7.1995,NA,41.4999978944252
NA,NA,NA,NA,11.9,9.2545,NA,45.4000003737747
NA,NA,NA,NA,7.1,10.123,NA,68.3999969100114
