"year","month","HF_1","HF_2","PnET_1","PnET_2","PnET_3","Princeton"
1901,1,NA,NA,-12,-11.4205,NA,-9.6246886222593
1901,2,NA,NA,-9.7,-10.633,NA,-12.5932678222656
1901,3,NA,NA,-8.3,-5.186,NA,-2.89761569115421
1901,4,NA,NA,0.6,0.543,NA,3.31099650065106
1901,5,NA,NA,3.5,6.2425,NA,5.90672823998238
1901,6,NA,NA,11.4,10.742,NA,8.98652140299481
1901,7,NA,NA,13.9,13.83,NA,14.7971012238533
1901,8,NA,NA,13.3,13.152,NA,14.1761452951739
1901,9,NA,NA,9.1,7.999,NA,9.28341267903648
1901,10,NA,NA,5.6,2.1825,NA,1.90593970514115
1901,11,NA,NA,-1.9,-1.9215,NA,-1.00515441894529
1901,12,NA,NA,-9,-7.8835,NA,-12.7554013159967
1902,1,NA,NA,-11.4,-11.4205,NA,-6.43162014868949
1902,2,NA,NA,-13.1,-10.633,NA,-10.390289415632
1902,3,NA,NA,-4.6,-5.186,NA,-7.11635190902215
1902,4,NA,NA,1.5,0.543,NA,-0.399548339843727
1902,5,NA,NA,5.5,6.2425,NA,6.61468584614418
1902,6,NA,NA,11.4,10.742,NA,11.908827718099
1902,7,NA,NA,15.2,13.83,NA,15.0938078849547
1902,8,NA,NA,13.6,13.152,NA,12.9380688082788
1902,9,NA,NA,8.7,7.999,NA,8.59204508463544
1902,10,NA,NA,2.1,2.1825,NA,5.2738468293221
1902,11,NA,NA,-4.7,-1.9215,NA,-0.872389729817686
1902,12,NA,NA,-8.4,-7.8835,NA,-7.83069113454509
1903,1,NA,NA,-12.6,-11.4205,NA,-6.47601141160532
1903,2,NA,NA,-9.6,-10.633,NA,-7.30381622314451
1903,3,NA,NA,-1.6,-5.186,NA,-3.80932932207659
1903,4,NA,NA,0.2,0.543,NA,2.07239583333336
1903,5,NA,NA,5.2,6.2425,NA,6.05761895948843
1903,6,NA,NA,9.6,10.742,NA,15.3168650309245
1903,7,NA,NA,13,13.83,NA,16.5700140183972
1903,8,NA,NA,11,13.152,NA,15.6261958952873
1903,9,NA,NA,9,7.999,NA,7.94556376139325
1903,10,NA,NA,2.6,2.1825,NA,6.80627815492694
1903,11,NA,NA,-1.5,-1.9215,NA,-3.06224772135414
1903,12,NA,NA,-11.7,-7.8835,NA,-7.35151150611137
1904,1,NA,NA,-10.3,-11.4205,NA,-10.7167266845703
1904,2,NA,NA,-9.4,-10.633,NA,-7.55247634361528
1904,3,NA,NA,-1.5,-5.186,NA,-8.05568591702367
1904,4,NA,NA,-1,0.543,NA,2.74241739908856
1904,5,NA,NA,5.2,6.2425,NA,7.94781966670869
1904,6,NA,NA,9.3,10.742,NA,11.5805419921875
1904,7,NA,NA,13.4,13.83,NA,13.4654224026588
1904,8,NA,NA,9.9,13.152,NA,13.3588166267641
1904,9,NA,NA,8.5,7.999,NA,9.55757242838544
1904,10,NA,NA,3.4,2.1825,NA,2.64094277658772
1904,11,NA,NA,-5.2,-1.9215,NA,-1.51749674479164
1904,12,NA,NA,-11,-7.8835,NA,-11.4856062366116
1905,1,NA,NA,-15.9,-11.4205,NA,-12.3150129748929
1905,2,NA,NA,-13.6,-10.633,NA,-11.4970262799944
1905,3,NA,NA,-5.7,-5.186,NA,-6.42592123708415
1905,4,NA,NA,-0.8,0.543,NA,-0.852601114908831
1905,5,NA,NA,7.7,6.2425,NA,8.56548265026464
1905,6,NA,NA,9.5,10.742,NA,10.8560689290365
1905,7,NA,NA,13.6,13.83,NA,12.6827961583292
1905,8,NA,NA,11.4,13.152,NA,13.0184324202999
1905,9,NA,NA,7.8,7.999,NA,10.401552327474
1905,10,NA,NA,0.5,2.1825,NA,2.3151558168473
1905,11,NA,NA,-5.7,-1.9215,NA,-4.23552449544269
1905,12,NA,NA,-12.6,-7.8835,NA,-6.46017180412044
1906,1,NA,NA,-12.5,-11.4205,NA,-15.4894780312815
1906,2,NA,NA,-14.7,-10.633,NA,-10.6277477809361
1906,3,NA,NA,-6.3,-5.186,NA,-5.68667720671621
1906,4,NA,NA,0.3,0.543,NA,0.613883463541689
1906,5,NA,NA,5.6,6.2425,NA,7.98704263010335
1906,6,NA,NA,9.7,10.742,NA,11.7242014567058
1906,7,NA,NA,14.2,13.83,NA,15.2231335055444
1906,8,NA,NA,11.2,13.152,NA,14.821426686933
1906,9,NA,NA,8.3,7.999,NA,8.96595764160159
1906,10,NA,NA,1.5,2.1825,NA,5.32739927230345
1906,11,NA,NA,-4.4,-1.9215,NA,0.112446085612002
1906,12,NA,NA,-7.4,-7.8835,NA,-10.3995402674521
1907,1,NA,NA,-7.8,-11.4205,NA,-9.13506558325981
1907,2,NA,NA,-12.3,-10.633,NA,-11.2108406066894
1907,3,NA,NA,-8.3,-5.186,NA,-5.09904942666328
1907,4,NA,NA,0.2,0.543,NA,3.95952962239586
1907,5,NA,NA,5.4,6.2425,NA,6.65823935231857
1907,6,NA,NA,10.6,10.742,NA,12.3241190592448
1907,7,NA,NA,13.8,13.83,NA,15.3184605752268
1907,8,NA,NA,14,13.152,NA,14.6574025800151
1907,9,NA,NA,7.9,7.999,NA,10.5423960367839
1907,10,NA,NA,2.7,2.1825,NA,0.289682499054962
1907,11,NA,NA,-2.7,-1.9215,NA,-0.931209309895811
1907,12,NA,NA,-10.9,-7.8835,NA,-6.36490478515623
1908,1,NA,NA,-12.3,-11.4205,NA,-9.48969263876636
1908,2,NA,NA,-15.7,-10.633,NA,-12.5519964810075
1908,3,NA,NA,-4.6,-5.186,NA,-4.69946111863657
1908,4,NA,NA,-1.7,0.543,NA,1.58923441569013
1908,5,NA,NA,3.9,6.2425,NA,8.36978818831908
1908,6,NA,NA,9.6,10.742,NA,9.1042419433594
1908,7,NA,NA,13.8,13.83,NA,14.995756875315
1908,8,NA,NA,11.2,13.152,NA,15.3251508159022
1908,9,NA,NA,10.2,7.999,NA,9.23162536621096
1908,10,NA,NA,-0.9,2.1825,NA,0.889318453881071
1908,11,NA,NA,-2,-1.9215,NA,-2.67305094401039
1908,12,NA,NA,-6.6,-7.8835,NA,-11.1240694107548
1909,1,NA,NA,-10.9,-11.4205,NA,-8.93163442304055
1909,2,NA,NA,-13.1,-10.633,NA,-10.2045872279576
1909,3,NA,NA,-4.9,-5.186,NA,-3.82745184129282
1909,4,NA,NA,-0.7,0.543,NA,3.6410837809245
1909,5,NA,NA,7.2,6.2425,NA,6.56777343750002
1909,6,NA,NA,10,10.742,NA,12.3694793701172
1909,7,NA,NA,14.5,13.83,NA,14.7249596380419
1909,8,NA,NA,11.6,13.152,NA,14.2416153446321
1909,9,NA,NA,8.5,7.999,NA,8.97156778971356
1909,10,NA,NA,2.2,2.1825,NA,0.289682499054962
1909,11,NA,NA,-2.4,-1.9215,NA,-1.76910603841144
1909,12,NA,NA,-9,-7.8835,NA,-6.21119266633062
1910,1,NA,NA,-10.1,-11.4205,NA,-14.319439992597
1910,2,NA,NA,-9,-10.633,NA,-7.75739244733536
1910,3,NA,NA,-6,-5.186,NA,-4.49939181420109
1910,4,NA,NA,-0.1,0.543,NA,1.93988444010419
1910,5,NA,NA,5.3,6.2425,NA,7.80726554624498
1910,6,NA,NA,11.1,10.742,NA,14.1578084309896
1910,7,NA,NA,11.7,13.83,NA,13.2174089985509
1910,8,NA,NA,11.3,13.152,NA,11.9527152769027
1910,9,NA,NA,8.3,7.999,NA,10.2081858317058
1910,10,NA,NA,1.6,2.1825,NA,3.34875960811494
1910,11,NA,NA,-1.1,-1.9215,NA,1.52590128580731
1910,12,NA,NA,-9.6,-7.8835,NA,-4.6046922253024
1911,1,NA,NA,-10.4,-11.4205,NA,-6.49947746030744
1911,2,NA,NA,-11.9,-10.633,NA,-6.20209568568636
1911,3,NA,NA,-3.2,-5.186,NA,-3.7541072722404
1911,4,NA,NA,2,0.543,NA,0.247594197591169
1911,5,NA,NA,5.5,6.2425,NA,7.08350278792845
1911,6,NA,NA,9.9,10.742,NA,12.9171498616537
1911,7,NA,NA,13.7,13.83,NA,13.2039182601437
1911,8,NA,NA,11.5,13.152,NA,13.2103830645162
1911,9,NA,NA,8.3,7.999,NA,10.5425048828125
1911,10,NA,NA,3.1,2.1825,NA,4.94330798733621
1911,11,NA,NA,-2.6,-1.9215,NA,0.0357666015625227
1911,12,NA,NA,-12.1,-7.8835,NA,-3.72089627173637
1912,1,NA,NA,-8.6,-11.4205,NA,-9.611188039472
1912,2,NA,NA,-12.3,-10.633,NA,-11.0935282740099
1912,3,NA,NA,-7.5,-5.186,NA,-3.98000626102568
1912,4,NA,NA,-1.4,0.543,NA,0.396809895833356
1912,5,NA,NA,8.5,6.2425,NA,9.16994235131051
1912,6,NA,NA,9.7,10.742,NA,10.6207489013672
1912,7,NA,NA,14.9,13.83,NA,14.0480354555192
1912,8,NA,NA,11.9,13.152,NA,11.3056717411165
1912,9,NA,NA,7.9,7.999,NA,9.17251383463544
1912,10,NA,NA,2,2.1825,NA,1.78032541582664
1912,11,NA,NA,-3.3,-1.9215,NA,-1.534575398763
1912,12,NA,NA,-4.4,-7.8835,NA,-7.94279598113027
1913,1,NA,NA,-17,-11.4205,NA,-6.09134324596772
1913,2,NA,NA,-11.3,-10.633,NA,-10.9425306047712
1913,3,NA,NA,-6.7,-5.186,NA,-7.76879754835557
1913,4,NA,NA,0.7,0.543,NA,-0.0696451822916439
1913,5,NA,NA,6.8,6.2425,NA,6.93351184475809
1913,6,NA,NA,9,10.742,NA,10.7086140950521
1913,7,NA,NA,13.9,13.83,NA,12.9643670851185
1913,8,NA,NA,11.4,13.152,NA,12.2027448100429
1913,9,NA,NA,8.4,7.999,NA,7.96904907226565
1913,10,NA,NA,3,2.1825,NA,6.59806853263611
1913,11,NA,NA,-2.2,-1.9215,NA,-0.171326700846331
1913,12,NA,NA,-5.5,-7.8835,NA,-7.44131194083919
1914,1,NA,NA,-6.5,-11.4205,NA,-11.302360977665
1914,2,NA,NA,-13,-10.633,NA,-12.6975115094866
1914,3,NA,NA,-3.2,-5.186,NA,-3.62033100743445
1914,4,NA,NA,1.1,0.543,NA,1.58748270670575
1914,5,NA,NA,4.3,6.2425,NA,5.4352739887853
1914,6,NA,NA,9.8,10.742,NA,12.2345672607422
1914,7,NA,NA,13.3,13.83,NA,13.3289300733997
1914,8,NA,NA,11.9,13.152,NA,13.8492291850429
1914,9,NA,NA,7.6,7.999,NA,6.92180277506513
1914,10,NA,NA,6.8,2.1825,NA,2.63802588678178
1914,11,NA,NA,-2.2,-1.9215,NA,-4.15574442545571
1914,12,NA,NA,-6.9,-7.8835,NA,-10.9415585425592
