"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,1030,135,300,98.5087703390825,0,0,0
"2",0,0,1030,135,300,96.8852830996952,0,0,0
"3",0,0,1030,135,300,94.8655638841096,0,0,0
"4",24.2093019781061,34.5,1005.26213566446,135,300,119.26273324703,31.05,0,0
"5",178.844559713647,154.3125,997.252740672371,135,300,208.740950662428,107.83125,0,0
"6",264.808393407611,300,983.644392592386,135,300,281.713312957689,131.11875,0,0
"7",169.846023911215,300,1055.40124281672,135,300,222.843949958773,0,0,0
"8",171.279355869511,300,1136.05737016081,135,300,180.707944154457,0,0,0
"9",200.252582718577,300,1263.26267891511,135,300,157.457760543325,0,0,0
"10",126.691019751053,276,1340.0170015407,135,300,144.921966136841,0,0,0
"11",0,0,1318.35071631464,135,300,139.606470274223,0,0,0
"12",0,0,1318.35071631464,135,300,136.999318353722,0,0,0
"13",0,0,1031.61811999246,113.037934380975,172.039557793311,135.075317454345,0,0,0
"14",0,0,1031.61811999246,113.037934380975,172.039557793311,133.409587565031,0,0,0
"15",0,0,1031.61811999246,113.037934380975,172.039557793311,129.802665225863,0,0,0
"16",11.6097473446372,23.2355754005338,1012.73295120321,113.037934380975,172.039557793311,143.215310192868,20.9120178604804,0,0
"17",145.303045547869,131.092604455714,1001.35538384299,113.037934380975,172.039557793311,219.250044329027,97.0713261496625,0,0
"18",230.04376293573,251.195409735501,1013.5663667725,113.037934380975,172.039557793311,270.491324984201,108.092524751808,0,0
"19",206.719418917411,251.195409735501,1136.94453619198,113.037934380975,172.039557793311,210.471741709935,0,0,0
"20",240.134154312447,251.195409735501,1299.84396975234,113.037934380975,172.039557793311,170.873596863425,0,0,0
"21",201.400155449427,251.195409735501,1442.69230683179,113.037934380975,172.039557793311,149.750756157161,0,0,0
"22",40.3646325858125,190.90851139898,1452.18311614968,113.037934380975,172.039557793311,139.891574629084,0,0,0
"23",0,0,1441.26101682452,113.037934380975,172.039557793311,136.257703433764,0,0,0
"24",0,0,1441.26101682452,113.037934380975,172.039557793311,133.542195988354,0,0,0
"25",0,0,1132.25119308229,123.603929496893,185.405894245339,131.775964150429,0,0,0
"26",0,0,1132.25119308229,123.603929496893,185.405894245339,129.538072693334,0,0,0
"27",0,0,1132.25119308229,123.603929496893,185.405894245339,124.51819432014,0,0,0
"28",39.2356755489267,60.4285877540364,1090.90658928596,123.603929496893,185.405894245339,169.912422371095,54.3857289786327,0,0
"29",214.346603548669,181.45743538641,1117.30207176022,123.603929496893,185.405894245339,253.683220850065,108.925962869137,0,0
"30",318.461852764348,274.675398881983,1243.36718827591,123.603929496893,185.405894245339,292.37330868875,83.8961671460158,0,0
"31",261.606701113794,274.675398881983,1416.51714959622,123.603929496893,185.405894245339,242.100602488794,0,0,0
"32",213.383155592474,274.675398881983,1548.38764206311,123.603929496893,185.405894245339,203.480063931636,0,0,0
"33",217.457228522641,274.675398881983,1698.71297704506,123.603929496893,185.405894245339,179.67260567901,0,0,0
"34",55.0552356402092,214.246811127947,1715.98542118082,123.603929496893,185.405894245339,167.961153206862,0,0,0
"35",0,0,1696.6575597083,123.603929496893,185.405894245339,160.767755708767,0,0,0
"36",0,0,1696.6575597083,123.603929496893,185.405894245339,158.48726263083,0,0,0
"37",0,0,1340.92854654633,135.335645482623,220.393367679348,156.002678987544,0,0,0
"38",0,0,1340.92854654633,135.335645482623,220.393367679348,153.132701890834,0,0,0
"39",1.76854155930655,5.26305287987978,1335.76810433767,135.335645482623,220.393367679348,151.438004155098,4.7367475918918,0,0
"40",40.0989791929796,63.3446007328387,1296.63265006203,135.335645482623,220.393367679348,194.212885343127,52.2733930676631,0,0
"41",253.59220444002,209.394318149502,1316.44238557172,135.335645482623,220.393367679348,292.532988666789,131.444745674997,0,0
"42",303.853899237356,300.745878850273,1429.43813544776,135.335645482623,220.393367679348,333.662532267302,82.2164046306933,0,0
"43",260.116226950622,300.745878850273,1577.2857985126,135.335645482623,220.393367679348,266.671352251981,0,0,0
"44",273.945344069681,300.745878850273,1764.40757688686,135.335645482623,220.393367679348,232.016149040688,0,0,0
"45",163.677634583838,300.745878850273,1849.36499163529,135.335645482623,220.393367679348,201.71341785551,0,0,0
"46",71.603488767111,228.566867926207,1875.88233225412,135.335645482623,220.393367679348,188.565297154073,0,0,0
"47",0,0,1858.91678310334,135.335645482623,220.393367679348,183.124774021586,0,0,0
"48",0,0,1858.91678310334,135.335645482623,220.393367679348,180.352692152597,0,0,0
"49",0,0,1486.49602697453,133.041665715909,239.379090412907,178.603165610398,0,0,0
"50",0,0,1486.49602697453,133.041665715909,239.379090412907,176.400656396354,0,0,0
"51",0,0,1486.49602697453,133.041665715909,239.379090412907,171.998085195707,0,0,0
"52",10.1175526913771,17.369328579577,1472.93617463499,133.041665715909,239.379090412907,179.097784930269,15.6323957216193,0,0
"53",256.322814620137,176.464987164852,1480.30901877182,133.041665715909,239.379090412907,284.576203428096,143.186092726747,0,0
"54",310.462171278736,295.648146035353,1555.06231689641,133.041665715909,239.379090412907,339.890765072325,107.264842983452,0,0
"55",184.799641950222,295.648146035353,1637.28381345973,133.041665715909,239.379090412907,273.665955731718,0,0,0
"56",200.128375302299,295.648146035353,1746.16022000567,133.041665715909,239.379090412907,229.79120096677,0,0,0
"57",246.971718723011,295.648146035353,1918.19810382749,133.041665715909,239.379090412907,204.722955004431,0,0,0
"58",9.56018562993228,0,1892.26766281148,133.041665715909,239.379090412907,193.57686799428,0,0,0
"59",0,0,1892.26766281148,133.041665715909,239.379090412907,188.36933852261,0,0,0
"60",0,0,1892.26766281148,133.041665715909,239.379090412907,185.915053534543,0,0,0
